No;Tanggal;Ringkasan Aktivitas Penelitian
1;10 Nov 2025;Inisiasi penelitian dan penetapan ruang lingkup proyek deteksi advertorial.
2;11 Nov 2025;Studi literatur komprehensif terkait mekanisme deteksi native ads terkini.
3;12 Nov 2025;Penyusunan kriteria dan batasan dari dataset awal yang akan dikumpulkan.
4;13 Nov 2025;Eksekusi pengumpulan dataset artikel berita elektronik dari portal Indonesia.
5;14 Nov 2025;Validasi dan kurasi manual subset pertama dari dataset awal yang terkumpul.
6;17 Nov 2025;Penyiapan environment eksperimen untuk pengujian model baseline.
7;18 Nov 2025;Integrasi akses API GPT-4o sebagai validator Ground Truth percobaan awal
8;19 Nov 2025;Uji coba prompt engineering untuk klasifikasi native ads dengan GPT-4o.
9;20 Nov 2025;Eksekusi eksperimen klasifikasi pada subset data menggunakan GPT-4o.
10;21 Nov 2025;Evaluasi kinerja dan rekapitulasi performa GPT-4o sebagai metrik baseline.
11;24 Nov 2025;Identifikasi kandidat model bahasa Open-Source (OSS) yang potensial.
12;25 Nov 2025;Registrasi dan setup API OpenRouter untuk memfasilitasi akses multi-model OSS.
13;26 Nov 2025;Pembuatan skrip otomatisasi pengujian inferensi melalui endpoint OpenRouter.
14;27 Nov 2025;Pengumpulan hasil inferensi eksperimen beberapa kandidat model OSS.
15;28 Nov 2025;Analisis komparatif performa deteksi antara model komersial dan terbuka (OSS).
16;01 Des 2025;Studi dan perancangan konsep arsitektur multi-agen untuk deteksi konten.
17;02 Des 2025;Inisialisasi desain sistem deteksi berbasis kerangka kerja LangChain.
18;03 Des 2025;Pembuatan prototipe logika komunikasi antar agen secara sistematis.
19;04 Des 2025;Implementasi orkestrasi agen dasar menggunakan objek StateGraph LangChain.
20;05 Des 2025;Pengujian dan debugging fungsionalitas alur tugas agen dalam LangChain.
21;08 Des 2025;Penyiapan korpus berita dengan nuansa persuasif untuk pengujian intensif Llama-3.
22;09 Des 2025;Konfigurasi dan penyesuaian instruksi prompt pada uji coba Llama-3.
23;10 Des 2025;Pelaksanaan eksperimen deteksi dan pemahaman fitur linguistik persuasif.
24;11 Des 2025;Analisis kesalahan (error analysis) pada pola prediksi yang terklasifikasi salah.
25;12 Des 2025;Penyusunan laporan temuan kemampuan Llama-3 dalam memahami bahasa berita lokal.
26;15 Des 2025;Pemetaan rute pemanggilan API OpenAI dan OpenRouter pada backend proyek.
27;16 Des 2025;Pengembangan modul integrasi dinamis sistem klasifikasi ke backend utama.
28;17 Des 2025;Implementasi fungsi tracker untuk kalkulasi dan monitoring biaya akses API.
29;18 Des 2025;Optimalisasi struktur payload permintaan inferensi guna efisiensi token.
30;19 Des 2025;Finalisasi dan stress-testing kestabilan integrasi API eksternal di lingkungan backend.
31;22 Des 2025;Audit integritas data, format log, dan kualitas sampel dari dataset mentah.
32;23 Des 2025;Pembuatan skrip otomatisasi pembersihan teks (text cleaning & preprocessing).
33;24 Des 2025;Standardisasi struktur label target dan transformasi format output ke JSON/JSONL.
34;25 Des 2025;Validasi hasil pemrosesan dan ekstraksi fitur awal untuk pipeline pembelajaran.
35;26 Des 2025;Finalisasi komposisi dataset dan pemecahan partisi (train/val/test split) untuk fine-tuning.
36;29 Des 2025;Akses awal dan audit spesifikasi pada komputasi hardware server GPU (A100).
37;30 Des 2025;Instalasi driver grafis CUDA, cuDNN, serta library akselerasi deep learning dasar.
38;31 Des 2025;Pembuatan virtual environment Python terisolasi dan instalasi PyTorch ekosistem.
39;01 Jan 2026;Konfigurasi akses sistem remote (Jupyter Lab / SSH) lalu verifikasi topologi GPU.
